Team,Record,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
Mississippi,0.69,8.35,44.52,97.43,23.84,2.92,41.06,41.81,0.53,1.47
North Carolina,0.633,8.27,46.1,102.12,20.74,2.81,40.69,41.04,1.0,1.0
Utah St,0.8,8.27,43.63,99.61,20.77,2.97,36.15,35.8,0.95,0.05
Ohio St,0.552,8.26,46.8,99.2,24.35,2.94,42.32,42.38,1.21,0.79
Xavier,0.655,8.25,45.13,98.81,23.08,2.92,39.86,39.91,1.26,0.74
San Diego St,0.741,8.25,44.24,92.6,28.39,2.79,37.15,37.22,1.36,0.64
New Mexico,0.793,8.25,43.23,100.54,19.44,2.88,36.09,36.3,1.24,0.76
Vanderbilt,0.69,8.24,42.67,98.38,21.04,2.78,40.31,40.54,0.93,1.07
Indiana,0.621,8.21,43.93,96.78,23.91,2.99,41.07,41.41,0.86,1.14
Drake,0.9,8.19,40.6,90.34,27.01,2.78,31.02,31.02,0.0,0.0
Georgia,0.621,8.18,43.06,95.44,24.38,2.96,40.73,40.78,1.09,0.91
Arkansas,0.586,8.17,44.46,97.27,23.95,3.02,40.61,40.87,1.0,1.0
West Virginia,0.586,8.17,42.78,92.57,26.96,3.02,41.91,41.86,1.09,0.91
Cincinnati,0.586,8.16,44.09,94.02,26.82,2.91,40.61,40.57,1.25,0.75
Villanova,0.6,8.15,45.33,94.6,27.48,2.95,39.16,39.18,0.67,0.33
Texas,0.552,8.15,45.42,97.65,24.53,2.91,40.26,40.56,1.05,0.95
VCU,0.828,8.15,43.47,94.06,26.16,2.8,31.87,32.19,1.42,0.58
Boise St,0.724,8.13,43.47,95.0,25.23,2.99,35.84,35.68,1.56,0.44
SMU,0.724,8.13,42.59,98.26,21.09,2.9,36.94,37.02,1.26,0.74
Oklahoma,0.586,8.13,43.26,97.92,22.09,2.94,40.5,40.85,0.85,1.15
Nebraska,0.586,8.1,42.9,96.14,23.51,2.9,40.57,40.87,0.86,1.14
Wake Forest,0.667,8.09,41.04,94.05,23.74,2.98,38.83,38.67,0.72,0.28
TCU,0.552,8.05,42.1,93.44,25.41,2.97,41.11,41.36,0.82,1.18
Northwestern,0.533,8.05,43.72,94.75,25.72,2.79,40.31,40.69,0.26,0.74
Colorado St,0.69,8.02,42.01,94.83,23.93,2.92,35.89,36.01,1.23,0.77
San Francisco,0.742,8.0,40.59,94.39,22.96,2.76,34.45,34.45,0.0,0.0
Utah,0.552,8.0,42.27,96.75,22.28,3.19,39.64,39.98,0.85,1.15
Iowa,0.517,8.0,43.44,102.54,17.66,3.06,40.11,40.53,0.81,1.19
North Texas,0.786,7.95,39.69,86.89,29.55,2.77,32.02,31.92,1.51,0.49
Pittsburgh,0.552,7.95,42.34,95.72,23.38,2.8,38.98,38.82,1.34,0.66
UC San Diego,0.867,7.94,38.98,93.4,22.34,2.72,29.15,29.02,1.63,0.37
Rutgers,0.483,7.92,41.63,96.82,21.56,3.01,40.76,41.02,0.83,1.17
Penn St,0.5,7.92,43.18,97.86,22.08,2.92,38.97,39.41,0.24,0.76
Kansas St,0.483,7.92,41.93,94.47,24.21,2.86,40.37,40.86,0.63,1.37
UCF,0.517,7.9,40.18,99.07,17.87,2.89,40.75,40.78,0.93,1.07
Dayton,0.69,7.9,40.49,94.73,22.52,2.81,34.55,34.89,1.05,0.95
Santa Clara,0.645,7.89,41.03,98.1,19.68,2.74,35.85,35.85,0.0,0.0
UC Irvine,0.833,7.89,38.27,91.98,23.04,2.86,30.24,30.43,1.31,0.69
Stanford,0.655,7.88,39.61,94.18,22.19,2.95,36.22,36.69,0.77,1.23
USC,0.483,7.88,41.64,97.46,20.93,2.87,40.09,40.27,0.93,1.07
Arizona St,0.448,7.88,39.97,95.09,21.63,2.92,42.43,42.92,0.42,1.58
LSU,0.483,7.87,41.49,96.06,22.19,3.01,39.46,40.01,0.61,1.39
Bradley,0.774,7.86,38.91,93.64,22.03,3.03,31.78,31.78,0.0,0.0
Oklahoma St,0.483,7.84,39.29,94.91,21.14,2.93,41.02,41.11,0.81,1.19
Minnesota,0.517,7.84,39.19,91.17,24.78,2.95,39.58,39.98,0.6,1.4
