rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
31,Ohio St.,B10,20-12,115.45392800552442,15,98.51658457246849,109,0.8610976223989837,31,20,12,12,8,12-8,0.7277336885960084,0.5758801612411263,0.7810905676622805,0.7277336885960084,0.5758801612411263,0.7810905676622805,0.6911903732440933,0.7874027514874684,107.96972261723083,97.84629864819293,107.96972261723083,97.84629864819293,117.06810229332241,98.99158145536083,113.72390895162115,97.94951324694547,0.8477674493768563,12,0.0023981991885244636,1455.0,1390.0,1313.1875,1.107991052305935,1.0584931702441578,0,0.6,1.317074960120871,46,172,65.14713025057542
32,Texas A&M,SEC,27-13,109.19557265857787,54,93.2779629989395,30,0.859591505783446,32,27,13,9,9,9-9,0.6450122636204292,0.4073632214660565,0.74978117572644,0.6450122636204292,0.4073632214660565,0.74978117572644,0.7250086811006545,0.8702018275959009,105.90426761825806,98.3236777076491,105.90426761825806,98.3236777076491,109.57164373922002,96.7604236279932,119.83116381153876,102.35705928117338,0.8596745807425362,17,0.010657777789794043,1275.0,1275.0,1247.9249999999997,1.0216960153855401,1.0216960153855401,0,0.5,1.23094582814293,47,153,66.49881343821352
33,Oklahoma St.,B12,15-15,102.87380316616307,164,88.01069755071975,4,0.8574797576510752,33,15,15,8,10,8-10,0.7445411717473652,0.5425234922954605,0.8792196247153016,0.7445411717473652,0.5425234922954605,0.8792196247153016,0.6331620301284926,0.8230021538557447,108.35121043595242,95.78691266323321,108.35121043595242,95.78691266323321,103.29163891720174,87.0325169484468,112.48622519283397,95.4140927842593,0.8690916958617558,17,-0.0638757856155131,1155.0,1158.0,1231.3000000000002,0.9380329732802728,0.9404694225615202,0,0.4444444444444444,-0.7888847195786051,72,305,67.95574733291379
34,Providence,BE,27-6,111.42800861733372,33,95.48435826842025,46,0.855175883693988,34,27,6,14,3,14-3,0.6824136287840492,0.5445580074565055,0.7449355048125299,0.6824136287840492,0.5445580074565055,0.7449355048125299,0.7299754119668953,0.8100197605491278,106.36682555473887,98.28684062259944,106.36682555473887,98.28684062259944,112.67557309090665,96.34805203200179,118.59512832842887,100.34246762657565,0.8723561243332778,9,0.1589078461687795,1251.0,1179.0,1160.6499999999999,1.0778443113772456,1.0158101064058933,0,0.8235294117647058,5.865277448930437,14,2,65.33237407374152
35,Wake Forest,ACC,25-10,110.73649899622899,38,94.95308084673414,41,0.8542538569222357,35,25,10,13,7,13-7,0.6236535712679369,0.3537627053003136,0.7476663090239903,0.6236535712679369,0.3537627053003136,0.7476663090239903,0.7600773144352979,0.9180524495496628,106.48713659173025,100.70199157838307,106.48713659173025,100.70199157838307,114.92484189077378,95.26820401974268,125.04406252834771,110.82625867959248,0.8002852344925901,10,0.018687349045801382,1572.0,1421.0,1406.65,1.1175487861230582,1.0102015426723066,0,0.65,1.4484195184401127,44,131,70.39271837169152
36,Notre Dame,ACC,24-11,112.78061887120734,23,96.70952386127581,72,0.8541994501006636,36,24,11,15,5,15-5,0.6649056294743492,0.5145689767392956,0.7067030082650451,0.6649056294743492,0.5145689767392956,0.7067030082650451,0.7170384595640791,0.765565225085338,107.14205889732789,98.39580079322057,107.14205889732789,98.39580079322057,113.59547751854849,96.03861093645645,123.76446666361687,104.00635750870984,0.8808154613930901,14,0.041187721213107875,1453.0,1339.0,1329.0249999999996,1.09328266962623,1.0075055021538348,0,0.75,1.8508364249055758,37,85,65.4003528708008
37,Wisconsin,B10,25-8,108.67665330511848,61,93.3988061589766,31,0.850970337635054,37,25,8,15,5,15-5,0.728113796834037,0.5848409398611663,0.7951023439265404,0.728113796834037,0.5848409398611663,0.7951023439265404,0.6862020757073698,0.7596901653737838,108.31850380150479,97.7682104243467,108.31850380150479,97.7682104243467,109.89969929462934,93.29186143066775,130.64897741623577,105.29744095547309,0.9227875313222483,15,0.15604668980113168,1404.0,1368.0,1349.0999999999997,1.0406937958639095,1.0140093395597067,0,0.75,6.446717812581694,12,3,66.41281304467691
38,Miami FL,ACC,26-11,113.56009817296459,21,97.87757942816577,93,0.8467154785929395,38,26,11,14,6,14-6,0.7027050914304833,0.5271688628010959,0.7548865942605718,0.7027050914304833,0.5271688628010959,0.7548865942605718,0.7040706332027146,0.8246916902273406,107.42990516224806,97.91048324651435,107.42990516224806,97.91048324651435,116.86461531781067,99.61363935453099,124.74669657676444,103.5689041471881,0.8946885392959258,13,0.08568217295880998,1516.0,1418.0,1347.2,1.1252969121140142,1.0525534441805224,0,0.7,2.574906863502203,31,28,67.71123315159976
39,Loyola Chicago,MVC,25-8,106.91136211592156,86,92.3159014790759,22,0.8439626009145633,39,25,8,13,5,13-5,0.5626913537969751,0.5250884876770393,0.5444294479578724,0.5626913537969751,0.5250884876770393,0.5444294479578724,0.8087662963874366,0.7776316776425126,104.20825851715648,100.90231178859999,104.20825851715648,100.90231178859999,107.37438783040604,97.23926080790069,112.60226569023204,96.87542401987581,0.8494141704631613,5,0.022536892860961832,1307.0,1154.0,1193.5,1.0950984499371597,0.9669040636782572,0,0.7222222222222222,1.7572068546703423,39,118,64.59300733857756
40,Boise St.,MWC,27-8,107.58506119862878,78,92.93122698816622,24,0.843414174645946,40,27,8,15,3,15-3,0.6238319007954078,0.5016217892632049,0.6758224507412081,0.6238319007954078,0.5016217892632049,0.6758224507412081,0.7822808748882834,0.8668685153616053,104.36209316903648,98.5055964092028,104.36209316903648,98.5055964092028,111.43630718867344,94.53347375583549,102.46975637440873,87.55477417330827,0.8592392462338575,8,0.07160845429354612,1242.0,1124.0,1159.0874999999999,1.0715325633310688,0.9697283423382619,0,0.8333333333333334,3.4947893824216614,24,41,64.51964824746908
